game id,cat,name,description,start,end,duration
A001,rendering,"ensure all items at top layer & always visible + make environment endless scrollable","Move collectible items to a top screen-space layer so they are always visible (never cropped), and make the environment endlessly scrollable by removing world/camera bounds and wrapping items toroidally so they repeat infinitely as the player drifts.",2026-08-29 22:03:39,2026-08-29 22:07:36,237
A002,ui,"make level selector beautiful and easy to read, grouped per 10 levels in collapsible containers","Redesign the level selector to be beautiful and easy to read, with levels grouped into 10 collapsible sections (one per 10 levels), using a space-themed card layout with larger, readable orbs.",2026-08-29 22:08:43,2026-08-29 22:09:52,69
A003,rendering,"more planets in different colors + center icon in collectible balloon + nice explosion on avatar contact","Add more planets in different colors to the cosmic sky, center the shape icon inside the collectible orbs (fixing a double-translate offset), and make a nicer explosion effect when the avatar collects an item.",2026-08-29 22:12:47,2026-08-29 22:15:03,136
A004,ui,"cartoony colorful level selector + settings screen (fx/music levels + avatar color)","Give the level selector a more colourful, cartoon-like look, and add a settings screen where the player can adjust FX and music volume levels and choose the avatar colour, all persisted.",2026-08-29 22:17:42,2026-08-29 22:21:31,229
A005,rendering,"unique planet colours + horizontally aligned rings","Ensure every planet has a unique colour within a celestial tile (shuffled colour pool), and make each planet's ring always horizontally aligned left-to-right instead of randomly rotated.",2026-08-29 22:23:00,2026-08-29 22:23:51,51
A006,ui,"settings via menu button + fix FX slider and avatar colour","Access settings through a PopupMenuButton (with a Settings entry) instead of direct gear buttons; fix the FX volume slider not updating and the avatar colour not being settable (both caused by widgets missing a ListenableBuilder so they never rebuild).",2026-08-29 22:27:02,2026-08-29 22:28:27,85
A007,ui,"settings as an on-screen menu option like ""Choose a Level""","Present Settings as an on-screen menu option on the welcome screen, styled the same as the 'Choose a Level' button, instead of a top-right popup menu.",2026-08-29 22:30:03,2026-08-29 22:30:54,51
A008,meta,"refactor agent log to single-line CSV format","Convert agentlog.txt from a multi-line markdown-style log to a single-line CSV with a header row (request title, request summary, start time, end time) so it can be parsed as CSV; quote fields containing commas and escape embedded double quotes.",2026-08-29 22:31:40,2026-08-29 22:32:20,40
A009,ui,"use level theme colours in the level selector","Replace the hardcoded rainbow _groupColors in the level selector with the actual colours used by the levels: each level orb and each group section card now takes its colour from that level's theme (GameTheme.themeForLevel), so the selector matches the colours of the levels themselves.",2026-08-29 22:34:24,2026-08-29 22:35:21,57
A010,meta,"add duration seconds column to agent log CSV","Refactor agentlog.txt to add a 'duration seconds' column computed from the start and end times for every request row, so each CSV line can be parsed with its duration.",2026-08-29 22:37:00,2026-08-29 22:37:45,45
A011,gameplay,"add auto mode that navigates to the collectables automatically","Add an auto mode toggle that, when enabled, makes the avatar automatically steer toward and collect the nearest uncollected item without any player input; manual joystick or keyboard input temporarily overrides it.",2026-08-29 22:39:07,2026-08-29 22:40:24,77
A012,ui,"restyle level selector to match the game's space theme","Replace the cartoon rainbow level selector with a space theme matching the game: a deep-space backdrop with stars, a galaxy and ringed planets, level orbs and section cards tinted with each level's own theme colours, and planet-style icons.",2026-08-29 22:44:40,2026-08-29 22:46:51,131
A013,ui,"make level selector groups transparent, polished and each with a unique level colour","Restyle the level selector's collapsible group cards to be transparent glassy panels (backdrop blur over the space sky), polished with thin glowing borders, and give each of the 10 groups its own unique accent colour drawn from the actual level theme palettes.",2026-08-29 22:50:50,2026-08-29 22:50:50,0
A014,gameplay,"add level challenges, countdown timer with time-extension bubbles, and a Free mode","Add per-level challenges (each level requires collecting N bubbles of a target shape), a countdown timer where special time-extension bubbles add time, a Time's-up fail/retry overlay, and a Free mode toggle next to Auto mode that removes both the challenge and the timer.",2026-08-29 22:57:25,2026-08-29 23:04:04,433
A015,gameplay,"collect a bubble as soon as the avatar's white rim touches the item icon","Change the collection trigger so a bubble is captured the moment the avatar's white body border touches the shape icon in the bubble (avatar body radius + icon radius), instead of requiring a smaller centre overlap; tapping also collects within the on-screen icon radius.",2026-08-29 23:04:04,2026-08-29 23:07:34,210
A016,meta,"redesign agentlog for Agent log analyzer & auditor (activity id, category, title, summary, start, end, duration)","Restructure agentlog.txt so it is useful for Agent log analyzer & auditor: add an activity id and category column to every record, re-express the old columns as title/summary/start/end/duration, and map categories (gameplay, ui, rendering, meta) + sequential activity ids onto all prior records; future requests use the new format.",2026-08-29 23:07:34,2026-08-29 23:09:08,94
A017,meta,"log request fields for Agent log analyzer & auditor","When processing a request, log the activity id, category, title, summary, start, end, and duration; write the start time as soon as request processing begins.",2026-08-30 15:47:05,2026-08-30 15:47:05,0
